,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
514,Developing,49.9,451.0,21.6,5.1,23.0,23.0,337.4849614,0.37,7.1
2309,Developing,41.5,57.0,18.4,1.9,73.0,66.0,263.7618312,0.322,7.4
2618,Developing,59.7,285.0,23.7,1.0,87.0,85.0,62.1318489,0.475,12.0
629,Developing,79.0,98.0,56.5,0.1,85.0,82.0,9186.59639,0.752,13.4
990,Developing,72.7,132.0,47.5,0.1,75.0,74.0,928.18227,0.684,11.8
2707,Developing,63.3,248.0,4.7,0.1,99.0,99.0,174.51475,0.0,10.3
154,Developing,68.4,162.0,44.7,0.1,75.0,79.0,1578.4239,0.675,11.2
1153,Developing,71.0,174.0,38.8,1.7,94.0,88.0,188.783165,0.551,9.8
782,Developing,73.0,22.0,46.1,2.3,79.0,65.0,2372.628827,0.665,12.4
1733,Developing,75.9,17.0,61.3,0.1,91.0,91.0,7378.345289,0.803,15.1
1523,Developed,73.4,169.0,61.9,0.1,93.0,93.0,16554.97139,0.841,16.5
1015,Developing,69.0,267.0,25.5,1.9,94.0,94.0,1312.67557,0.547,10.5
823,Developing,72.0,191.0,52.8,0.3,89.0,89.0,3474.392445,0.662,12.9
2166,Developing,48.3,426.0,13.2,8.5,9.0,9.0,216.172747,0.318,6.6
739,Developed,81.0,75.0,58.1,0.1,94.0,94.0,61191.19263,0.924,18.7
2496,Developing,51.4,477.0,28.9,40.2,88.0,89.0,2842.438422,0.514,10.6
5,Developing,58.8,279.0,16.7,0.1,66.0,66.0,553.32894,0.448,9.2
42,Developing,72.9,136.0,48.9,0.1,88.0,88.0,31.122378,0.68,12.0
1587,Developing,74.8,126.0,39.5,0.1,97.0,97.0,11183.96191,0.783,13.0
737,Developed,86.0,71.0,58.8,0.1,93.0,93.0,5314.64416,0.923,19.2
2719,Developing,58.4,362.0,16.3,8.0,8.0,79.0,594.9972557,0.473,10.9
1298,Developing,76.2,125.0,54.2,0.5,91.0,91.0,4965.989857,0.729,12.8
2559,Developing,66.7,174.0,35.9,0.2,93.0,93.0,666.3458569,0.601,11.1
1785,Developing,65.4,29.0,19.8,0.5,9.0,9.0,987.7365832,0.515,8.8
507,Developing,80.0,77.0,6.6,0.1,91.0,91.0,31979.87195,0.881,15.8
1770,Developing,53.8,4.0,2.1,11.3,74.0,74.0,463.852618,0.382,9.2
666,Developing,78.0,14.0,54.6,0.1,89.0,99.0,4669.6916,0.732,14.7
1618,Developing,58.2,266.0,23.8,1.5,64.0,66.0,729.725338,0.438,8.4
2033,Developing,67.0,223.0,2.1,0.1,89.0,9.0,1194.697155,0.642,11.6
2558,Developing,67.3,171.0,36.6,0.2,93.0,95.0,738.3475227,0.603,11.1
502,Developing,81.0,72.0,63.6,0.1,91.0,89.0,4773.45436,0.898,15.9
2855,Developing,69.3,176.0,42.6,0.1,7.0,67.0,1353.934819,0.0,10.2
1310,Developing,73.1,166.0,44.5,2.3,96.0,99.0,3465.221998,0.694,11.9
79,Developing,73.6,156.0,38.2,0.1,95.0,96.0,9875.161736,0.0,0.0
278,Developing,58.4,259.0,22.5,1.6,79.0,8.0,793.45243,0.448,9.3
1896,Developing,52.7,374.0,23.5,4.4,42.0,42.0,2755.297787,0.507,9.7
1991,Developing,74.0,146.0,5.2,0.2,93.0,89.0,419.367724,0.692,12.3
1297,Developed,79.4,77.0,55.0,0.1,87.0,97.0,251.2426,0.823,14.8
1253,Developed,85.0,69.0,6.5,0.1,95.0,95.0,49231.36254,0.895,18.5
1637,Developed,81.0,58.0,68.4,0.1,99.0,99.0,2193.8836,0.821,14.1
2937,Developing,46.0,665.0,25.5,43.5,78.0,78.0,547.3588785,0.434,9.8
2931,Developing,45.4,7.0,27.9,26.8,7.0,71.0,414.796232,0.408,9.5
924,Developing,78.9,11.0,58.1,0.1,97.0,97.0,38969.17163,0.864,17.1
1209,Developing,67.7,189.0,21.3,0.2,77.0,83.0,216.52766,0.641,11.7
214,Developing,74.6,19.0,49.9,0.1,93.0,93.0,16523.32388,0.779,15.5
1997,Developing,73.0,155.0,45.6,0.1,85.0,81.0,2599.596259,0.663,12.1
2836,Developing,67.3,192.0,37.5,0.3,99.0,99.0,546.776852,0.62,11.7
2499,Developing,46.0,63.0,27.8,49.1,86.0,88.0,2873.862141,0.495,9.7
658,Developing,79.0,93.0,6.7,0.1,99.0,99.0,75.5199,0.772,14.0
2011,Developing,74.5,133.0,52.9,0.2,91.0,91.0,5771.565878,0.721,13.4
1813,Developing,69.2,165.0,19.1,0.1,91.0,9.0,743.7653489,0.555,12.2
235,Developing,68.2,247.0,56.2,0.1,99.0,99.0,2378.33927,0.703,14.1
857,Developing,67.0,322.0,15.1,1.1,94.0,94.0,326.825642,0.406,5.2
2132,Developed,77.0,178.0,52.4,0.1,98.0,98.0,2124.873613,0.714,12.0
1695,Developing,75.0,127.0,54.9,0.1,98.0,98.0,6751.998987,0.708,11.9
2528,Developed,82.0,6.0,54.6,0.1,95.0,96.0,72119.5687,0.914,15.3
591,Developing,71.4,167.0,46.7,0.1,79.0,82.0,2472.197831,0.65,11.3
770,Developing,73.9,152.0,58.9,0.3,85.0,87.0,6468.471648,0.718,13.2
2436,Developed,81.0,79.0,59.9,0.1,97.0,97.0,24918.64584,0.833,15.6
7,Developing,58.1,287.0,15.7,0.1,64.0,64.0,373.3611163,0.433,8.7
232,Developing,69.8,226.0,57.7,0.1,95.0,9.0,4735.484827,0.739,14.9
2140,Developing,68.4,256.0,57.5,0.2,97.0,98.0,1674.98771,0.773,13.7
547,Developing,79.9,84.0,61.8,0.1,9.0,9.0,15431.9293,0.826,15.5
1322,Developed,82.6,67.0,25.4,0.1,98.0,97.0,35275.22843,0.877,15.0
1256,Developed,79.7,77.0,58.2,0.1,94.0,94.0,51983.78892,0.909,17.9
1696,Developing,75.0,127.0,54.1,0.1,97.0,98.0,716.8219,0.703,11.6
1572,Developing,56.7,394.0,18.8,6.3,89.0,89.0,332.922339,0.459,10.7
1638,Developed,87.0,59.0,68.0,0.1,96.0,96.0,22821.847,0.826,14.8
766,Developing,57.9,322.0,29.0,4.3,62.0,62.0,792.15412,0.372,3.3
1474,Developing,53.7,484.0,32.6,9.3,93.0,9.0,173.82893,0.495,10.7
1181,Developed,88.0,65.0,56.5,0.1,99.0,99.0,46917.27216,0.873,18.3
755,Developing,62.7,256.0,33.8,2.1,82.0,82.0,1622.637974,0.464,6.3
178,Developing,76.7,7.0,62.2,0.1,99.0,99.0,251.18329,0.815,14.5
1056,Developing,77.0,178.0,38.2,0.1,96.0,96.0,519.958715,0.0,14.3
2018,Developing,72.2,151.0,48.1,0.4,86.0,81.0,2448.143899,0.685,12.8
457,Developing,72.1,129.0,24.9,0.6,96.0,97.0,234.28992,0.596,11.9
353,Developing,74.8,144.0,55.3,0.1,93.0,96.0,1226.61731,0.747,15.2
2398,Developing,58.0,428.0,47.2,11.0,72.0,72.0,7362.76139,0.63,12.8
2075,Developing,77.5,74.0,66.5,0.1,93.0,92.0,85948.746,0.827,12.4
1588,Developing,74.6,128.0,38.5,0.1,97.0,97.0,1882.27842,0.779,12.9
1408,Developing,73.2,95.0,64.5,0.1,99.0,99.0,1654.96761,0.786,14.0
127,Developed,79.5,78.0,58.2,0.1,9.0,9.0,2169.921,0.897,20.4
239,Developing,68.0,247.0,54.4,0.1,99.0,99.0,1276.28834,0.675,13.1
1581,Developing,45.1,615.0,15.5,23.4,89.0,94.0,274.2256294,0.366,10.0
1241,Developing,69.3,167.0,54.5,0.1,69.0,71.0,4521.3247,0.638,10.3
630,Developing,78.1,16.0,55.5,0.1,88.0,93.0,8199.414621,0.749,13.3
2663,Developing,69.1,194.0,34.4,1.2,91.0,91.0,6935.721451,0.715,11.8
1617,Developing,69.6,139.0,15.2,0.1,98.0,98.0,2182.99711,0.577,11.3
1155,Developed,75.6,137.0,64.2,0.1,99.0,99.0,14117.97668,0.834,15.8
205,Developing,66.3,164.0,11.2,0.1,83.0,83.0,4.6135745,0.476,7.7
1237,Developing,76.0,147.0,57.2,0.1,69.0,7.0,6651.12242,0.656,10.5
1762,Developing,69.0,155.0,45.7,0.1,96.0,93.0,1336.775376,0.53,8.5
1048,Developing,72.4,158.0,43.1,0.1,99.0,99.0,7395.88125,0.0,15.6
635,Developing,78.6,97.0,5.3,0.1,91.0,91.0,4697.11135,0.723,12.4
1994,Developing,73.6,148.0,47.9,0.1,87.0,83.0,3855.537735,0.679,12.3
1769,Developing,54.0,47.0,2.5,10.8,74.0,73.0,419.2258149,0.39,9.3
185,Developing,75.5,79.0,56.8,0.1,98.0,98.0,1937.99549,0.81,14.2
2123,Developed,74.3,139.0,57.7,0.1,89.0,89.0,92.277825,0.798,15.7
1666,Developing,60.0,23.0,21.1,1.1,51.0,58.0,477.476124,0.443,6.4
1578,Developing,48.5,559.0,16.6,19.3,87.0,88.0,32.2227274,0.387,9.7
1114,Developing,65.7,232.0,4.3,1.9,94.0,94.0,2327.58324,0.62,11.2
2474,Developing,71.4,178.0,57.7,0.4,85.0,85.0,9564.46383,0.722,12.7
523,Developing,45.7,512.0,17.9,12.0,51.0,45.0,313.21598,0.315,5.7
2907,Developing,61.1,314.0,22.8,4.3,86.0,78.0,1738.8822,0.57,12.5
1027,Developing,88.0,73.0,66.0,0.1,99.0,99.0,21673.7817,0.862,17.2
1375,Developing,52.1,437.0,15.1,15.7,84.0,83.0,395.8493511,0.451,8.5
121,Developed,81.2,66.0,62.0,0.1,92.0,92.0,36118.28381,0.915,20.3
592,Developing,63.5,227.0,24.2,0.8,91.0,92.0,727.6463868,0.498,11.1
1750,Developing,73.9,97.0,56.5,0.1,99.0,99.0,3111.762887,0.634,12.1
222,Developing,73.4,125.0,43.8,0.7,84.0,93.0,11513.87189,0.75,14.0
1049,Developing,72.1,162.0,42.4,0.1,99.0,99.0,7946.944346,0.0,15.4
631,Developing,79.2,96.0,54.4,0.1,86.0,8.0,689.396224,0.747,13.1
339,Developing,63.4,3.0,36.2,4.4,95.0,96.0,729.231453,0.687,12.5
2082,Developing,76.6,84.0,65.0,0.1,96.0,95.0,41818.35256,0.826,13.5
1667,Developing,74.6,146.0,33.3,0.1,97.0,98.0,9252.11724,0.779,15.2
846,Developing,53.8,334.0,19.5,3.6,37.0,46.0,3577.176197,0.554,8.4
29,Developing,73.3,15.0,46.9,0.1,98.0,98.0,1453.642777,0.67,10.7
1340,Developing,72.4,127.0,57.8,0.1,95.0,95.0,223.83787,0.73,13.8
1840,Developed,79.2,77.0,55.0,0.1,98.0,98.0,39954.64222,0.885,16.5
2137,Developing,70.0,229.0,59.3,0.2,97.0,98.0,15543.67653,0.799,14.6
1313,Developing,72.6,171.0,41.6,2.2,93.0,95.0,336.8742,0.682,11.4
76,Developing,74.2,151.0,4.1,0.1,99.0,99.0,9739.82556,0.0,0.0
2224,Developing,65.4,215.0,25.4,0.9,99.0,99.0,1126.46212,0.531,10.4
1379,Developing,66.1,2.0,77.1,0.1,75.0,79.0,1684.54274,0.597,11.9
993,Developing,71.8,129.0,46.0,0.1,8.0,81.0,691.997711,0.0,11.4
1103,Developing,52.8,35.0,18.5,4.1,57.0,61.0,321.481324,0.0,7.1
2492,Developing,56.5,412.0,3.7,12.2,95.0,92.0,3851.51547,0.534,11.3
1925,Developed,78.5,85.0,53.3,0.1,9.0,91.0,38146.71539,0.911,17.1
362,Developing,72.7,163.0,47.8,0.1,99.0,99.0,477.182746,0.694,13.8
89,Developing,75.2,127.0,57.5,0.1,91.0,92.0,5878.76127,0.782,16.1
379,Developing,76.4,89.0,3.1,0.1,92.0,92.0,21896.6527,0.828,13.7
1201,Developing,62.5,224.0,11.4,0.3,58.0,57.0,438.864634,0.489,8.3
2234,Developing,74.4,88.0,67.3,0.1,98.0,98.0,24575.434,0.841,15.8
2069,Developed,76.9,11.0,5.9,0.1,97.0,96.0,11729.14616,0.782,15.7
1847,Developed,81.3,69.0,66.4,0.1,92.0,92.0,42889.88141,0.908,19.3
151,Developing,73.0,141.0,46.6,0.1,81.0,85.0,5574.6382,0.719,11.6
1013,Developing,61.6,257.0,26.7,0.9,92.0,91.0,1629.8222,0.563,11.2
1454,Developed,78.0,29.0,56.3,0.1,98.0,98.0,5134.95694,0.761,15.2
250,Developed,78.9,89.0,6.2,0.1,97.0,97.0,36967.28292,0.861,15.7
1101,Developing,53.5,38.0,19.6,5.0,64.0,69.0,393.3138244,0.0,7.7
180,Developing,76.1,76.0,6.8,0.1,99.0,99.0,2281.1242,0.812,14.4
744,Developed,78.8,88.0,56.3,0.1,88.0,88.0,64322.6664,0.906,16.8
1955,Developing,63.2,187.0,17.4,0.1,68.0,71.0,499.8633,0.457,5.5
1976,Developing,62.7,278.0,47.9,0.7,73.0,64.0,2182.716565,0.511,10.0
1397,Developing,74.3,84.0,69.5,0.1,98.0,98.0,51264.7134,0.794,13.2
1844,Developed,78.1,84.0,51.8,0.1,97.0,97.0,25921.12794,0.873,16.5
1550,Developed,78.6,92.0,55.8,0.1,98.0,99.0,65445.8853,0.865,13.6
242,Developed,87.0,77.0,63.0,0.1,99.0,99.0,4651.38647,0.889,16.3
203,Developing,67.3,158.0,12.0,0.1,99.0,88.0,46.7579167,0.491,8.1
512,Developing,52.5,397.0,22.7,4.4,47.0,47.0,348.381417,0.347,7.1
980,Developing,74.5,128.0,54.4,0.1,93.0,94.0,4274.376857,0.755,13.5
528,Developing,53.1,356.0,19.1,2.8,46.0,52.0,777.248751,0.394,7.3
2724,Developing,53.2,446.0,14.5,8.7,64.0,59.0,315.788227,0.429,10.9
1952,Developing,62.9,2.0,18.9,0.1,77.0,78.0,711.4699463,0.487,6.1
1390,Developing,64.7,215.0,7.6,0.1,7.0,79.0,115.3865,0.0,11.6
2030,Developing,67.5,217.0,21.6,0.1,91.0,91.0,1919.466195,0.655,11.5
1259,Developed,79.0,78.0,55.8,0.1,91.0,91.0,54326.9713,0.896,17.6
1482,Developing,46.2,633.0,28.3,30.0,88.0,87.0,918.432717,0.44,10.6
37,Developing,74.7,119.0,53.9,0.1,95.0,95.0,4463.394675,0.714,13.6
1570,Developing,58.3,365.0,19.6,4.8,88.0,88.0,362.6575444,0.473,10.8
2687,Developing,73.9,118.0,61.1,0.1,96.0,96.0,936.499911,0.709,12.5
1928,Developing,76.2,12.0,52.8,0.1,98.0,99.0,21268.7564,0.796,13.7
1836,Developed,83.0,68.0,57.9,0.1,97.0,97.0,56928.8248,0.905,16.8
1017,Developing,63.0,275.0,24.2,2.2,93.0,92.0,1224.41554,0.53,9.8
1664,Developing,62.0,228.0,22.3,1.2,89.0,91.0,46.9542322,0.446,6.5
1763,Developing,68.6,16.0,44.8,0.1,95.0,95.0,1332.382358,0.519,8.0
2257,Developing,62.1,23.0,2.3,0.7,94.0,93.0,95.3978522,0.425,6.8
113,Developed,82.7,6.0,66.1,0.1,92.0,92.0,62214.6912,0.936,20.4
2563,Developing,65.5,194.0,33.5,0.3,84.0,79.0,337.359236,0.572,10.6
1470,Developing,73.5,15.0,59.7,0.1,74.0,74.0,5425.6697,0.0,14.8
2834,Developing,67.8,184.0,38.7,0.3,96.0,98.0,83.476942,0.631,11.8
2569,Developing,74.9,148.0,33.6,0.1,99.0,99.0,5814.863134,0.738,13.6
1514,Developing,72.5,132.0,57.4,0.1,98.0,98.0,1138.56661,0.756,15.1
1530,Developed,72.0,24.0,59.0,0.1,95.0,95.0,12297.91535,0.812,16.4
260,Developing,69.4,188.0,47.8,0.5,95.0,95.0,4516.24675,0.7,12.4
871,Developing,75.6,137.0,57.6,0.1,94.0,94.0,14638.6482,0.833,16.2
2811,Developing,76.8,117.0,63.4,0.1,95.0,95.0,16737.89827,0.791,15.5
2271,Developing,74.1,131.0,56.4,0.1,95.0,97.0,5821.35397,0.754,13.6
1511,Developing,72.8,132.0,59.9,0.1,98.0,98.0,1212.56217,0.755,14.3
2748,Developing,76.7,78.0,6.5,0.1,98.0,98.0,4335.64268,0.829,13.3
644,Developed,77.1,14.0,61.9,0.1,96.0,96.0,13235.97757,0.815,14.6
2701,Developing,65.6,217.0,45.0,0.1,97.0,97.0,5649.978486,0.665,10.6
209,Developing,75.4,1.0,53.7,0.1,94.0,95.0,15359.66971,0.793,15.3
1516,Developing,71.9,138.0,56.0,0.1,98.0,98.0,8171.361651,0.748,15.7
1098,Developing,55.0,32.0,21.3,5.7,74.0,76.0,481.694976,0.394,8.8
1279,Developing,79.3,74.0,59.2,0.1,9.0,91.0,18431.15696,0.855,15.3
2583,Developing,71.2,194.0,19.4,0.8,96.0,97.0,1893.145377,0.649,11.2
889,Developing,59.8,289.0,14.9,2.4,54.0,63.0,325.3825543,0.378,7.6
1293,Developed,89.0,66.0,57.6,0.1,94.0,97.0,31174.56118,0.846,15.6
24,Developing,75.9,9.0,51.7,0.1,98.0,99.0,363.13685,0.703,11.6
587,Developing,72.8,148.0,49.8,0.1,89.0,89.0,274.249442,0.658,11.3
925,Developing,78.7,12.0,57.6,0.1,98.0,96.0,37636.11173,0.869,18.3
2040,Developed,77.3,12.0,61.1,0.1,98.0,94.0,14341.675,0.85,16.4
830,Developing,69.9,29.0,47.8,0.3,94.0,93.0,2519.737387,0.628,12.0
953,Developing,61.6,298.0,32.4,8.9,82.0,81.0,194.2746,0.651,12.4
472,Developing,65.0,24.0,14.8,0.9,82.0,82.0,631.675789,0.495,10.3
1563,Developing,61.4,263.0,16.3,0.6,85.0,83.0,292.157443,0.478,9.0
186,Developing,75.3,81.0,56.1,0.1,98.0,98.0,17959.17854,0.806,14.0
323,Developing,76.8,92.0,54.2,0.1,92.0,87.0,4716.673325,0.728,13.9
289,Developing,69.4,216.0,23.6,0.5,99.0,98.0,2522.7968,0.596,12.5
854,Developing,62.9,286.0,16.5,0.7,96.0,96.0,582.775532,0.405,5.0
942,Developing,79.3,99.0,56.4,0.1,97.0,96.0,29691.18158,0.852,15.4
1614,Developing,72.7,112.0,16.7,0.1,98.0,98.0,3432.247841,0.601,11.8
2215,Developing,72.0,18.0,65.6,0.1,95.0,94.0,154.68923,0.64,12.1
1023,Developing,57.6,31.0,2.7,3.5,78.0,8.0,39.484473,0.484,7.6
2661,Developing,69.3,191.0,36.0,0.5,91.0,91.0,884.518666,0.729,12.0
2623,Developing,56.7,336.0,2.9,4.3,78.0,78.0,499.6468713,0.442,10.6
19,Developing,76.9,86.0,55.8,0.1,99.0,99.0,4247.61438,0.752,14.2
2303,Developing,47.1,433.0,21.2,1.7,84.0,81.0,394.5932439,0.375,8.5
430,Developing,51.3,385.0,13.0,5.3,81.0,72.0,133.7427689,0.268,4.5
1793,Developing,62.8,235.0,14.6,0.4,79.0,84.0,143.77651,0.435,7.6
1524,Developed,73.0,178.0,61.4,0.1,93.0,93.0,15712.82376,0.834,16.4
537,Developing,48.5,414.0,15.7,5.1,4.0,49.0,712.1847694,0.303,5.5
1672,Developing,73.3,163.0,3.7,0.2,99.0,99.0,8.376432,0.74,14.0
1130,Developing,61.8,266.0,4.7,2.7,63.0,62.0,615.8198192,0.458,8.4
2048,Developed,75.2,144.0,56.0,0.1,99.0,99.0,94.7726,0.803,15.0
911,Developing,67.9,22.0,52.2,0.1,93.0,94.0,2259.55796,0.687,13.3
140,Developed,78.8,88.0,51.7,0.1,84.0,84.0,3212.9355,0.837,14.7
1044,Developing,73.3,144.0,46.5,0.1,97.0,98.0,7955.615985,0.746,15.8
2320,Developed,81.4,64.0,31.2,0.1,97.0,97.0,39721.4818,0.88,14.2
2692,Developing,72.0,132.0,56.8,0.1,85.0,85.0,64.72953,0.675,12.0
548,Developing,79.8,86.0,61.2,0.1,94.0,93.0,1475.69242,0.82,15.4
2131,Developed,71.1,174.0,52.9,0.1,97.0,97.0,2774.95586,0.722,12.5
274,Developing,59.5,251.0,24.6,1.2,77.0,73.0,915.2674586,0.466,10.3
1824,Developing,64.7,218.0,13.4,0.2,8.0,8.0,287.4156,0.463,9.3
533,Developing,51.2,364.0,17.1,4.1,39.0,43.0,896.5697341,0.36,6.7
2275,Developing,73.0,135.0,53.9,0.1,98.0,98.0,3528.1318,0.73,13.2
2051,Developed,74.7,142.0,54.5,0.1,99.0,98.0,5693.52416,0.796,15.3
94,Developing,74.0,138.0,54.6,0.1,83.0,85.0,717.694674,0.771,15.6
1303,Developing,75.0,138.0,5.5,0.5,94.0,94.0,4682.728424,0.721,12.7
1450,Developed,78.0,221.0,57.7,0.1,94.0,94.0,1444.1589,0.814,16.2
776,Developing,73.6,157.0,52.6,1.2,82.0,85.0,4952.67753,0.695,12.9
1721,Developing,66.3,25.0,46.9,0.1,96.0,96.0,265.353659,0.693,14.3
917,Developing,84.0,82.0,61.0,0.1,99.0,99.0,47415.55987,0.884,17.0
2427,Developed,82.4,6.0,65.4,0.1,96.0,96.0,2921.9342,0.874,17.5
2138,Developing,69.6,237.0,58.7,0.3,97.0,98.0,15154.45687,0.792,14.3
11,Developing,57.0,293.0,13.8,0.1,5.0,5.0,219.1413528,0.381,6.8
2297,Developing,51.0,413.0,24.4,0.5,86.0,86.0,587.538233,0.431,9.5
2667,Developing,74.9,13.0,59.3,0.1,98.0,98.0,4199.47253,0.72,14.7
2552,Developing,72.6,136.0,43.9,0.1,84.0,86.0,1177.629268,0.588,10.0
1449,Developed,71.9,199.0,58.1,0.1,94.0,94.0,16348.53121,0.819,16.3
2317,Developed,82.2,6.0,32.1,0.1,96.0,96.0,53166.67581,0.911,15.2
2550,Developing,72.8,135.0,45.3,0.1,84.0,86.0,1263.13455,0.596,10.2
1446,Developed,73.6,169.0,59.4,0.1,92.0,92.0,1372.68947,0.81,15.8
61,Developing,46.5,391.0,16.3,2.3,41.0,37.0,711.181716,0.401,5.5
2829,Developing,68.8,184.0,42.2,0.1,99.0,99.0,174.468298,0.673,12.0
677,Developed,79.7,57.0,58.3,0.1,99.0,99.0,32233.83942,0.847,13.8
1753,Developing,72.8,11.0,53.6,0.1,99.0,99.0,2834.2472,0.603,10.7
2363,Developing,68.8,182.0,48.9,0.1,94.0,99.0,188.5159,0.509,9.5
2296,Developing,71.8,188.0,27.1,0.1,98.0,98.0,7578.85153,0.0,12.3
1007,Developed,78.4,91.0,56.1,0.1,93.0,97.0,2525.16445,0.867,16.3
422,Developing,56.2,338.0,15.7,2.4,94.0,96.0,24.944652,0.336,8.6
2365,Developing,68.5,186.0,47.2,0.1,99.0,99.0,1642.837974,0.497,9.4
2211,Developing,71.4,162.0,68.9,0.1,55.0,26.0,2351.33814,0.665,12.4
1934,Developing,74.9,113.0,5.6,0.1,99.0,97.0,1585.13226,0.753,11.5
1043,Developing,73.5,143.0,47.4,0.1,97.0,81.0,8569.776998,0.749,15.8
2269,Developing,74.6,127.0,57.7,0.1,94.0,94.0,6423.291783,0.757,13.5
2477,Developing,76.0,187.0,55.5,0.1,86.0,86.0,8318.97692,0.704,12.5
1124,Developing,62.7,253.0,47.7,0.5,68.0,67.0,81.265673,0.483,9.1
1374,Developing,52.4,437.0,15.5,14.5,73.0,75.0,436.6875357,0.45,8.2
943,Developing,79.2,11.0,55.8,0.1,97.0,97.0,24275.2426,0.851,15.5
1966,Developing,76.5,127.0,52.7,0.1,86.0,86.0,6973.9284,0.75,12.8
2143,Developing,67.3,282.0,56.1,0.3,98.0,98.0,911.25385,0.761,13.8
653,Developed,74.7,122.0,56.3,0.1,94.0,95.0,785.881418,0.765,12.9
402,Developing,59.0,27.0,18.2,0.7,88.0,89.0,699.452847,0.392,7.5
1466,Developing,74.4,98.0,61.9,0.1,8.0,75.0,614.271115,0.731,12.9
386,Developed,74.1,14.0,64.5,0.1,95.0,95.0,7674.86559,0.781,14.4
2135,Developing,75.0,222.0,6.5,0.1,97.0,97.0,9329.298351,0.805,15.0
3,Developing,59.5,272.0,17.6,0.1,67.0,67.0,669.959,0.463,9.8
193,Developing,71.4,132.0,17.7,0.1,97.0,97.0,184.56543,0.57,10.0
188,Developing,75.0,85.0,55.2,0.1,97.0,97.0,14221.99259,0.798,13.7
681,Developed,78.9,63.0,56.3,0.1,97.0,97.0,31386.63265,0.836,13.5
529,Developing,52.6,362.0,18.7,2.9,37.0,44.0,125.998515,0.39,7.3
829,Developing,70.0,215.0,48.6,0.3,9.0,9.0,2632.79942,0.636,12.4
2577,Developing,73.3,165.0,24.6,0.4,98.0,98.0,3972.26475,0.687,12.3
1234,Developing,68.9,182.0,59.1,0.1,58.0,63.0,4974.2693,0.649,10.1
2323,Developed,82.0,69.0,3.2,0.1,96.0,96.0,29869.85398,0.821,12.6
2434,Developed,88.0,73.0,61.1,0.1,98.0,98.0,28482.6948,0.844,15.9
216,Developing,74.2,113.0,48.4,0.1,93.0,93.0,16462.48556,0.771,15.0
1392,Developing,64.3,219.0,68.8,0.1,85.0,88.0,734.9492461,0.0,10.4
1843,Developed,78.3,82.0,52.6,0.1,97.0,97.0,26584.12169,0.878,16.7
15,Developing,54.8,321.0,12.2,0.1,24.0,24.0,114.56,0.338,5.5
1758,Developing,77.0,137.0,49.1,0.1,98.0,98.0,213.755559,0.569,9.8
112,Developed,82.8,59.0,66.6,0.1,93.0,93.0,56554.3876,0.937,20.4
984,Developing,73.2,133.0,51.3,0.1,88.0,93.0,276.588512,0.734,12.8
1162,Developed,73.5,176.0,59.9,0.1,99.0,99.0,13842.6549,0.809,15.3
863,Developing,58.5,343.0,13.1,1.9,9.0,92.0,21.7687981,0.0,4.4
1973,Developing,75.5,124.0,46.9,0.1,99.0,95.0,446.372833,0.721,12.4
1128,Developing,62.5,251.0,43.0,2.0,65.0,65.0,668.297646,0.466,8.5
534,Developing,57.0,37.0,16.7,4.4,24.0,32.0,84.455939,0.343,6.3
